beatmap_id,artist,title,version,dominant_mods,sr,farm_score,base_farm_score,confidence,confidence_label,efficiency_agreement,efficiency_disagreement,disagreement_penalty,pp_efficiency_shrunk,realized_efficiency_shrunk,overrep,profile_impact,median_position,top10_count,top20_count,top30_count,forgiveness,median_acc,pct_miss_free,median_combo_ratio,hit_length,cs,od,mean_pp,p90_pp,max_pp,raw_count,passcount,url
2468864,nano,"No pain, No game (TV Size)",PikA's Expert,NM,5.08682,0.16138658905381897,0.16138658905381897,0.8449612403100775,high_conf,corroborated,0.0,0.0,0.010524987897280588,0.0038451441908135325,-0.004594026218820604,0.15585880209993985,60.0,5,12,22,-0.017756826135079645,96.14580000000001,0.5504587155963303,0.9900199600798403,85,3.6,9.0,159.87823211009174,308.69960000000003,447.711,109,261180,https://osu.ppy.sh/b/2468864
4796020,Hechizeros Band x Koji Kondo,El Sonidito x Athletic Theme (DitzyFlama Mashup),Ram's ANOTHER,NM,4.81056,0.15860148062618648,0.15860148062618648,0.9397590361445783,high_conf,corroborated,0.0,0.0,0.01326362038623845,0.0013719083375641136,0.8289516895117016,0.17885530739403027,54.5,31,61,90,0.07242581855484952,95.8656,0.532051282051282,0.979381443298969,31,3.6,9.0,202.63752403846155,362.0117000000001,605.98,312,402873,https://osu.ppy.sh/b/4796020
4974907,HO-KAGO TEA TIME,Fuwa Fuwa Time (TV Size),Sotarks' Expert,NM,5.11692,0.15823961773526576,0.15823961773526576,0.42857142857142855,explore,corroborated,0.0,0.0,0.0005334391993088716,0.01173743389452759,0.5205598579667647,0.16672798222581658,61.0,1,2,4,0.2456214368661217,95.81960000000001,0.3333333333333333,0.9054373522458629,72,3.8,9.0,236.73111333333333,465.6348,490.356,15,18136,https://osu.ppy.sh/b/4974907
2586028,SID,Uso (TV Size),Sealed,NM,4.9725,0.1564000810421777,0.19355992705690994,0.2,explore,formula_only,0.12386615338244078,0.03715984601473223,0.02907666859014927,-0.00857107654693306,0.2529340433787483,0.13926462033436754,69.0,0,0,1,2.0475107643150485,88.9348,0.2,0.6468172484599589,88,4.0,8.5,85.3883,106.9538,110.125,5,11395,https://osu.ppy.sh/b/2586028
2004346,MY FIRST STORY,Missing You,MiracleE's Expert,NM,5.11909,0.15573947352068362,0.15573947352068362,0.5121951219512195,supported,realized_only,0.0,0.0,-0.02261645467878215,0.03043063919242063,0.18630746222739777,0.18232753708397625,60.0,2,3,5,-0.20657857258442414,96.9171,0.5714285714285714,0.990234375,82,3.7,8.5,133.8872095238095,164.016,176.386,21,78930,https://osu.ppy.sh/b/2004346
2468862,nano,"No pain, No game (TV Size)",Kuki's Extra,NM,5.3175,0.15565284796692225,0.23940749958121305,0.868421052631579,high_conf,formula_only,0.27918217204763607,0.08375465161429081,0.04038428092508526,-0.013909217449384852,0.23841317128079445,0.14987561040899292,65.5,2,14,28,0.107154567483458,97.1212,0.4393939393939394,0.8350202429149798,84,4.0,9.1,191.61075757575756,388.10460000000023,523.937,132,194949,https://osu.ppy.sh/b/2468862
1026729,3 Nen E Gumi Utatan (Nagisa & Kayano & Karuma & Isogai & Maehara),Bye Bye YESTERDAY,Taeyang's Good Good Time,NM,5.39446,0.15288773543563944,0.15288773543563944,0.9822064056939501,high_conf,realized_only,0.0,0.0,-0.017005220675777234,0.02560579100576002,0.40120379023528946,0.2149749044698272,41.0,169,293,424,-0.48690418386631934,98.6595,0.5335144927536232,0.9964093357271095,91,4.0,8.5,227.9591857789855,449.35570000000007,595.442,1104,1279315,https://osu.ppy.sh/b/1026729
1576936,Panda Eyes,Euphoria,Mir's Extra,NM,5.3898,0.15040115153381511,0.23954630005117492,0.25925925925925924,explore,formula_only,0.29715049505786606,0.08914514851735982,0.04115528807958014,-0.014527075089994531,-0.03229674363297413,0.17290226202915995,93.0,1,1,2,0.33520066007919114,96.9631,0.42857142857142855,0.6060606060606061,100,4.2,8.7,189.6675857142857,343.83900000000006,517.233,7,28287,https://osu.ppy.sh/b/1576936
1736729,Ci Mei Gui,Wu Xuan Lan,Extra,NM,5.33783,0.14945700443434312,0.14945700443434312,0.6610169491525424,supported,realized_only,0.0,0.0,-0.00316593735935658,0.014012186495940467,-0.028524923828729638,0.18665259504802692,51.0,5,8,13,-0.4098981215540586,97.9675,0.5641025641025641,0.8574144486692015,92,4.2,8.0,284.5356307692308,537.1282,560.033,39,63252,https://osu.ppy.sh/b/1736729
1181042,Delta Heavy,Ghost,Comeback,NM,4.91217,0.1493409893107398,0.16580729891507692,0.3103448275862069,explore,formula_only,0.05488769868112372,0.016466309604337113,0.02187509781235112,-0.005048384071926364,-0.2502107030011436,0.17859077469673215,40.0,1,2,3,0.6552012275766078,95.8159,0.3333333333333333,0.572429906542056,65,4.5,8.7,131.1108,191.62660000000005,378.641,9,96408,https://osu.ppy.sh/b/1181042
